"label","message"
"0","Біздің жаңа жобамызды қараңыз."
"0","Кітап жазу бойынша жиналысқа қатысыңыз."
"0","Сәлем, досым, қалайсың!"
"0","Сенбі күні футбол ойыны болады."
"0","Бүгін ауа райы өте керемет."
"1","Сенбей тұрсыз ба! Тексеріңіз"
"1","Сіз ұттыңыз, ұтысыңызды келесі сілтемеден алыңыз"
"1","Тезірек сілтемеге өтіңіз"
"1","Құттықтаймын, ұтысыңызды алыңыз"
"1","Достарыңызға жіберіңіз, сіз жеңіске жетесіз!"
"1","Сізге арнайы ұсыныс."
"0","Досыңызбен кездесу жоспарлаңыз."
"1","Жедел түрде хабарласыңыз!"
"1","Бос орындар шектеулі! Ұтысқа кеңеліңіз!"
"0","Көңіл-күйіңіз қалай?"
"0","Кешегі кездесуде қызықты тақырыптар талқыланды."
"1","Тек бүгін ғана - ақшаны қайтарып алыңыз!"
"1","Сіз 1,000,000 теңге ұтып алдыңыз!"
"0","Кітапханаға барып, жаңа кітаптар алыңыз."
"1","Тегін iPhone алыңыз!"
"0","Жазғы демалыс жоспарларыңыз қандай?"
"1","Сізді құттықтаймыз!"
"1","Сіздің шотыңыз бұғатталды."
"1","Бүгін 90%-ға дейін жеңілдік."
"0","Сіздің сабағыңыз уақытында басталады."
"0","Жаңа фильмдер көрсетілімін жібермеңіз."
"1","Сізге жеңілдік картасы беріледі!"
"1","Арнайы ұсыныс: тек бүгін!"
"0","Оқу жылына дайындық шаралары басталды."
"1","Сіздің ұтысыңыз туралы хабарлама!"
"0","Достарымен бірге демалыс өткізу туралы идеялар."
"1","Тек бүгін: дәрі-дәрмектерді 50%-ға арзандатыңыз!"
"0","Жаңа пәндер мен курстар туралы ақпарат."
"1","Дәл қазір тіркеліңіз, бос орындар шектеулі!"
"0","Сіз үшін арнайы ұсыныс жасадық."
"1","Жылдам жауап беріңіз, жеңімпаз болу мүмкіндігі!"
"1","Тегін вебинарға тіркеліңіз!"
"0","Сіздің пікіріңіз біз үшін маңызды!"
"1","Құпия сауалнама: 5000 теңге ұтып алу мүмкіндігі!"
"1","Әлемдегі ең жақсы келісімдер тек сіз үшін!"
"0","Отбасыңызбен бірге тамаша демалыс өткізіңіз!"
"1","Жедел әрекет етіңіз!"
